ProductID	FOB	Duty	Freight	Other	Standard Unit Cost
BBY/KAT-10022	2.86	0.48	0.17	0.33000000000000007	3.84
C&A/120-63582	3.77	0.63	0.29	0.1899999999999995	4.88
C&A/13&-17246	8.05	1.4	0.68	0.29999999999999893	10.43
C&A/18.-87193	8.0	1.39	0.46	0.6099999999999994	10.46
C&A/3M-26711	2.05	0.37	0.05	0.33000000000000007	2.8
C&A/65W-74520	5.54	0.9	0.1	0.7999999999999998	7.34
C&A/7-P-83515	7.44	1.45	0.12	1.5600000000000005	10.57
C&A/90W-44850	6.17	1.03	0.55	0.27999999999999936	8.03
C&A/90W-79726	8.87	1.44	0.43	0.5700000000000021	11.31
C&A/AC-02316	14.49	2.35	0.71	0.6699999999999982	18.22
C&A/AC-11545	4.51	0.74	0.14	0.3700000000000001	5.76
C&A/AC-15589	2.62	0.45	0.09	0.2599999999999998	3.42
C&A/AC-17119	6.37	1.15	0.34	0.7100000000000009	8.57
C&A/AC-17218	3.54	0.58	0.31	0.33000000000000007	4.76
C&A/AC-23833	14.1	2.27	0.45	1.3299999999999983	18.15
C&A/AC-34349	4.12	0.65	0.34	0.08999999999999808	5.199999999999998
C&A/AC-36061	3.37	0.54	0.23	0.1399999999999979	4.2799999999999985
C&A/AC-44512	11.32	2.0	0.31	1.549999999999999	15.18
C&A/AC-50151	24.26	4.09	1.42	0.6599999999999966	30.43
C&A/AC-51420	3.9	0.72	0.06	0.5100000000000007	5.19
C&A/AC-53558	5.3	0.87	0.29	0.6500000000000004	7.11
C&A/AC-58050	8.18	1.43	0.15	0.6600000000000001	10.42
C&A/AC-60363	3.08	0.51	0.19	0.30000000000000027	4.08
C&A/AC-68793	4.06	0.68	0.1	0.5900000000000007	5.43
C&A/AC-69261	5.57	0.91	0.16	0.8999999999999995	7.54
C&A/AC-74577	1.23	0.21	0.02	0.20999999999999996	1.67
C&A/AC-80113	11.59	1.97	0.81	0.41999999999999815	14.79
C&A/AC-88125	3.54	0.6	0.25	0.5	4.89
C&A/ACE-43998	3.47	0.63	0.05	0.7399999999999993	4.89
C&A/ACE-63325	3.87	0.7	0.23	0.2499999999999991	5.05
C&A/ACE-66337	11.1	2.07	0.19	1.5200000000000014	14.88
C&A/ACE-88944	5.69	1.02	0.33	0.9599999999999991	8.0
C&A/ACT-86876	2.39	0.44	0.12	0.3899999999999997	3.34
C&A/AER-87665	4.05	0.63	0.21	0.2400000000000002	5.13
C&A/ANT-04654	14.35	2.58	0.76	2.4899999999999984	20.18
C&A/APP-25429	8.08	1.34	0.39	1.25	11.06
C&A/ASU-48872	-0.0	-0.0	-0.0	-0.0	-0.0
C&A/ASU-56780	5.04	0.89	0.35	0.7200000000000006	7.0
C&A/ASU-74359	24.09	4.65	1.98	2.8000000000000007	33.52
C&A/BEL-11495	4.05	0.72	0.29	0.14000000000000057	5.2
C&A/BEL-16141	1.75	0.3	0.09	0.08000000000000052	2.22
C&A/BLU-49726	8.6	1.45	0.45	1.1800000000000015	11.68
C&A/BRA-08526	5.81	0.98	0.25	0.46000000000000085	7.5
C&A/BUI-22995	9.75	1.64	0.45	1.2100000000000009	13.05
C&A/CAB-02544	8.42	1.6	0.77	0.8699999999999992	11.659999999999998
C&A/CAB-44755	3.18	0.58	0.13	0.3999999999999999	4.29
C&A/CIS-59145	1.94	0.32	0.15	0.15000000000000036	2.56
C&A/DEL-19217	5.92	1.03	0.38	0.48999999999999844	7.8199999999999985
C&A/DEL-54921	6.3	1.08	0.16	0.6799999999999988	8.219999999999999
C&A/DEL-58831	2.46	0.44	0.16	0.23999999999999977	3.3
C&A/DRA-75513	6.87	1.1	0.32	0.4399999999999977	8.729999999999999
C&A/GEL-92631	5.63	1.09	0.43	0.7699999999999996	7.919999999999999
C&A/HAN-43004	7.88	1.27	0.61	0.2400000000000002	10.0
C&A/HP-04426	4.64	0.81	0.16	0.20000000000000018	5.81
C&A/HP-06091	2.13	0.35	0.12	0.22999999999999998	2.83
C&A/HP-27534	35.47	6.43	1.5	6.280000000000001	49.68
C&A/HP-33702	2.89	0.47	0.1	0.1599999999999997	3.62
C&A/HP-44275	4.65	0.86	0.23	0.8799999999999981	6.619999999999999
C&A/HP-76765	3.78	0.64	0.31	0.040000000000000036	4.77
C&A/HUA-02447	6.62	1.18	0.6	0.33999999999999986	8.74
C&A/IHO-51970	7.58	1.37	0.47	0.7699999999999996	10.19
C&A/IK-43556	24.11	4.06	1.47	1.1400000000000041	30.78
C&A/IO-03438	3.47	0.61	0.13	0.2400000000000002	4.45
C&A/ION-24482	21.97	3.74	0.36	3.16	29.23
C&A/ION-56278	2.98	0.51	0.16	0.4299999999999997	4.08
C&A/JUN-63461	14.06	2.25	0.22	1.2699999999999925	17.799999999999994
C&A/KEE-58244	4.01	0.67	0.35	0.5200000000000005	5.55
C&A/KEN-58144	1.23	0.21	0.07	0.10000000000000009	1.61
C&A/LAU-44411	4.5	0.79	0.37	0.2699999999999996	5.93
C&A/LE1-98830	2.94	0.46	0.25	0.050000000000000266	3.7
C&A/LEN-00684	8.01	1.57	0.19	1.42	11.19
C&A/LEN-29267	15.75	2.65	0.88	1.8900000000000041	21.17
C&A/LG-76963	7.8	1.44	0.47	1.3499999999999996	11.06
C&A/LOT-22323	10.72	1.78	0.62	1.1100000000000012	14.23
C&A/MIN-73285	6.83	1.17	0.38	0.4199999999999964	8.799999999999997
C&A/MON-05987	15.21	2.5	0.94	1.389999999999997	20.04
C&A/NEW-15260	4.68	0.71	0.07	0.41999999999999993	5.88
C&A/OEM-83738	4.62	0.71	0.19	0.35999999999999943	5.88
C&A/ORI-18655	3.1	0.56	0.22	0.48999999999999977	4.37
C&A/ORI-45715	10.06	1.71	0.49	0.5	12.76
C&A/ORI-65456	19.88	3.09	1.53	1.0100000000000016	25.51
C&A/POW-04517	3.44	0.62	0.06	0.33000000000000096	4.45
C&A/SAB-53030	4.62	0.77	0.23	0.5499999999999989	6.17
C&A/SAM-24057	4.17	0.72	0.07	0.35999999999999854	5.3199999999999985
C&A/SAM-51296	9.82	1.77	0.94	1.5	14.03
C&A/SIB-67394	7.7	1.36	0.47	0.5899999999999981	10.12
C&A/SIB-95124	8.67	1.41	0.29	0.9900000000000002	11.36
C&A/SON-14734	10.08	1.81	0.95	1.3199999999999985	14.159999999999998
C&A/STA-51067	5.39	0.85	0.38	0.16000000000000103	6.78
C&A/STA-79397	7.63	1.23	0.22	1.1799999999999997	10.26
C&A/SYB-88427	5.29	0.91	0.48	0.6699999999999999	7.35
C&A/TAR-32719	19.64	3.51	1.35	1.4499999999999993	25.95
C&A/TOS-29316	3.07	0.57	0.24	0.47999999999999865	4.3599999999999985
C&A/TOS-86364	3.27	0.57	0.24	0.28000000000000025	4.36
C&A/TP--02129	9.63	1.74	0.55	0.8399999999999981	12.76
C&A/TP--91604	4.29	0.77	0.26	0.7999999999999998	6.12
C&A/UNI-02333	22.01	3.91	0.41	3.34	29.67
C&A/VIE-44786	20.03	3.29	1.22	0.9200000000000017	25.46
C&A/VIE-54790	8.14	1.37	0.23	0.5799999999999983	10.32
C&A/VIE-96674	3.28	0.53	0.06	0.3500000000000001	4.22
C&P/1.3-61763	7.54	1.22	0.46	0.5699999999999985	9.79
C&P/13-88529	1.64	0.29	0.09	0.1499999999999999	2.17
C&P/2 P-46086	3.63	0.62	0.17	0.1299999999999999	4.55
C&P/3 I-21022	9.44	1.68	0.43	0.5700000000000003	12.12
C&P/30X-69220	2.84	0.48	0.13	0.41000000000000014	3.86
C&P/AMZ-11646	3.4	0.61	0.2	0.40999999999999925	4.619999999999999
C&P/AXI-30080	13.83	2.62	1.16	2.0199999999999996	19.63
C&P/BEL-96956	8.54	1.49	0.38	0.7699999999999996	11.18
C&P/CAN-10320	3.69	0.62	0.33	0.5	5.14
C&P/CAN-12514	1.84	0.29	0.05	0.20000000000000018	2.38
C&P/CAN-13878	11.62	1.95	0.18	2.450000000000001	16.2
C&P/CAN-32455	4.85	0.93	0.12	0.8000000000000007	6.7
C&P/CAN-50721	3.66	0.72	0.29	0.54	5.21
C&P/CAN-58403	11.89	2.16	0.69	0.7899999999999991	15.53
C&P/CAN-63900	10.94	1.81	0.21	1.5999999999999996	14.56
C&P/CAN-92695	4.35	0.75	0.06	0.4400000000000004	5.6
C&P/CAN-95636	2.46	0.4	0.12	0.25	3.23
C&P/CAS-04305	8.93	1.68	0.52	0.9100000000000001	12.04
C&P/CEL-41782	4.14	0.71	0.23	0.7399999999999984	5.8199999999999985
C&P/CEL-48769	16.27	2.84	1.58	2.080000000000002	22.77
C&P/CEL-66896	11.06	1.83	0.25	0.7899999999999991	13.93
C&P/CEL-86391	21.04	3.64	1.63	0.8399999999999999	27.15
C&P/CEL-88838	6.2	1.18	0.09	1.0699999999999994	8.54
C&P/COP-60191	11.63	2.24	0.37	2.0299999999999994	16.27
C&P/COW-41876	11.11	1.97	1.1	1.5500000000000007	15.73
C&P/COW-71853	16.02	2.96	1.37	1.5199999999999996	21.87
C&P/COW-93426	17.52	2.85	1.35	0.629999999999999	22.35
C&P/DAH-04621	15.01	2.56	0.4	2.3800000000000026	20.35
C&P/DAK-52449	1.82	0.31	0.1	0.33000000000000007	2.56
C&P/EAG-15379	20.44	3.5	1.65	2.09	27.68
C&P/EPH-12944	11.61	1.84	0.86	0.7600000000000016	15.07
C&P/FLI-85124	26.64	4.21	0.63	1.870000000000001	33.35
C&P/FOS-09318	2.42	0.44	0.11	0.3600000000000003	3.33
C&P/FOS-95687	15.11	2.66	1.21	0.14999999999999858	19.13
C&P/FUJ-02389	4.23	0.66	0.23	0.36999999999999655	5.4899999999999975
C&P/FUJ-13688	1.5	0.25	0.13	0.09000000000000008	1.97
C&P/FUJ-22372	4.22	0.78	0.11	0.9099999999999993	6.02
C&P/FUJ-30300	6.03	1.01	0.45	0.7200000000000006	8.21
C&P/FUJ-48155	5.16	0.97	0.11	1.12	7.36
C&P/FUJ-68305	3.63	0.65	0.32	0.3799999999999999	4.98
C&P/FUJ-77449	10.7	1.89	0.48	1.83	14.9
C&P/FUJ-86426	4.14	0.68	0.21	0.17000000000000082	5.2
C&P/FUJ-89899	17.69	3.08	0.83	0.6099999999999994	22.21
C&P/FUJ-92673	3.89	0.61	0.12	0.4299999999999997	5.05
C&P/GE-53796	5.49	0.95	0.29	0.9399999999999995	7.67
C&P/GE-56156	3.65	0.62	0.12	0.34999999999999876	4.739999999999998
C&P/GEA-47969	9.37	1.69	0.14	2.1400000000000006	13.34
C&P/GLI-02575	3.44	0.58	0.18	0.21000000000000085	4.41
C&P/GOP-31925	5.58	0.88	0.46	0.3700000000000001	7.29
C&P/HAM-96530	7.19	1.21	0.31	0.9499999999999993	9.66
C&P/HON-43666	17.7	2.98	1.11	2.7300000000000004	24.52
C&P/HON-76321	12.38	1.93	0.27	0.9299999999999997	15.51
C&P/IDE-22421	21.63	3.56	0.45	3.730000000000004	29.37
C&P/IKE-47533	14.7	2.84	1.4	2.0500000000000007	20.99
C&P/ILF-25587	3.42	0.63	0.31	0.5300000000000002	4.89
C&P/INT-23343	8.39	1.46	0.24	0.7199999999999989	10.81
C&P/ISM-72190	3.67	0.6	0.33	0.3899999999999988	4.989999999999998
C&P/JAZ-84367	6.79	1.25	0.55	0.41999999999999993	9.01
C&P/JVC-18706	9.11	1.54	0.44	0.5400000000000027	11.63
C&P/KID-94587	25.99	4.98	1.5	4.630000000000003	37.1
C&P/KOD-01305	3.91	0.64	0.25	0.33000000000000007	5.13
C&P/KOD-30659	9.47	1.71	0.82	0.7599999999999998	12.76
C&P/KOD-32137	107.06	17.86	9.06	0.3300000000000125	134.31
C&P/KOD-88792	8.62	1.56	0.28	1.7400000000000002	12.2
C&P/KOD-98878	3.52	0.65	0.1	0.6700000000000008	4.94
C&P/LEN-48683	9.62	1.67	0.38	0.7499999999999982	12.419999999999998
C&P/LIN-10434	7.72	1.39	0.17	1.0600000000000005	10.34
C&P/LIN-39580	2.43	0.45	0.12	0.3199999999999994	3.32
C&P/LIN-62256	18.74	2.92	1.41	0.5800000000000018	23.65
C&P/MAG-05732	23.72	4.04	1.03	1.3000000000000007	30.09
C&P/MBQ-39471	26.02	4.49	2.11	1.5499999999999972	34.169999999999995
C&P/NAP-40398	7.93	1.3	0.58	0.1999999999999993	10.01
C&P/NEE-22428	2.99	0.5	0.14	0.4099999999999997	4.04
C&P/NEE-31972	4.04	0.7	0.18	0.23000000000000043	5.15
C&P/NEE-39870	3.33	0.58	0.09	0.4500000000000002	4.45
C&P/NEE-92158	21.38	3.68	1.51	2.8900000000000006	29.46
C&P/NEW-62681	1.39	0.25	0.05	0.28	1.97
C&P/NIC-91633	9.38	1.72	0.68	0.9799999999999986	12.76
C&P/NIG-24710	7.65	1.36	0.43	1.0899999999999999	10.53
C&P/NIK-14035	8.52	1.34	0.14	0.9700000000000006	10.97
C&P/NIK-23493	3.72	0.6	0.08	0.3199999999999994	4.72
C&P/NIK-31994	2.24	0.4	0.13	0.18000000000000016	2.95
C&P/NIK-38698	2.6	0.45	0.12	0.1599999999999997	3.33
C&P/NIK-63633	28.59	5.23	1.15	2.480000000000004	37.45
C&P/NIK-65484	7.68	1.33	0.41	0.41999999999999993	9.84
C&P/NIK-73329	8.3	1.44	0.43	0.39000000000000057	10.56
C&P/NIK-89874	2.09	0.35	0.08	0.2599999999999998	2.78
C&P/NIK-92147	3.26	0.59	0.28	0.2400000000000002	4.37
C&P/OLY-58700	3.55	0.55	0.17	0.28000000000000025	4.55
C&P/OLY-74471	12.01	1.89	0.72	1.1099999999999994	15.73
C&P/OLY-74515	7.76	1.51	0.5	1.040000000000001	10.81
C&P/ORE-81984	4.04	0.62	0.17	0.2699999999999996	5.1
C&P/ORI-20675	9.0	1.45	0.36	0.9200000000000017	11.73
C&P/ORI-29481	20.14	3.15	1.46	0.4800000000000004	25.23
C&P/ORI-39369	8.86	1.57	0.85	1.0200000000000014	12.3
C&P/PAN-12811	3.55	0.6	0.12	0.33999999999999897	4.6099999999999985
C&P/PAN-82041	7.8	1.37	0.36	0.9300000000000015	10.46
C&P/PEN-03728	9.27	1.55	0.65	0.4399999999999977	11.909999999999998
C&P/PEN-05493	5.25	0.93	0.48	0.8300000000000001	7.49
C&P/POL-60199	11.06	1.99	0.99	1.7499999999999982	15.79
C&P/POL-63183	5.84	1.07	0.34	0.9000000000000004	8.15
C&P/POL-71389	2.19	0.38	0.05	0.18000000000000016	2.8
C&P/POL-76653	4.6	0.71	0.08	0.5300000000000002	5.92
C&P/POS-23026	6.59	1.13	0.35	0.2699999999999996	8.34
C&P/Q-S-31839	2.47	0.39	0.09	0.17999999999999972	3.13
C&P/Q-S-36453	37.15	6.13	3.0	4.359999999999992	50.63999999999999
C&P/RIC-75381	8.82	1.64	0.77	0.5499999999999989	11.78
C&P/ROK-46038	11.92	1.96	0.9	0.5500000000000007	15.33
C&P/SAM-02290	1.78	0.34	0.12	0.2899999999999996	2.53
C&P/SAM-54725	6.05	1.06	0.48	0.2699999999999987	7.8599999999999985
C&P/SAM-67876	7.09	1.21	0.55	0.05999999999999872	8.91
C&P/SEC-14334	1.34	0.24	0.1	0.1299999999999999	1.81
C&P/SEC-57209	2.54	0.46	0.05	0.4700000000000002	3.52
C&P/SKY-95521	12.87	2.27	0.82	1.299999999999999	17.259999999999998
C&P/SON-10491	21.7	3.47	0.51	1.6499999999999986	27.33
C&P/SON-28746	10.28	1.78	0.47	1.8899999999999988	14.419999999999998
C&P/SON-82168	8.47	1.55	0.63	0.5499999999999972	11.2
C&P/SON-86082	18.51	3.2	0.24	1.6500000000000021	23.6
C&P/SPE-72313	6.46	1.11	0.28	0.46999999999999975	8.32
C&P/SWA-51468	24.17	3.86	1.87	1.2399999999999984	31.14
C&P/SWA-71119	3.42	0.55	0.09	0.3600000000000003	4.42
C&P/SYS-82260	9.78	1.74	0.81	0.5999999999999996	12.93
C&P/THE-14487	19.53	3.37	1.15	1.4600000000000009	25.51
C&P/TOT-68090	28.74	5.09	2.68	4.300000000000004	40.81
C&P/TRE-29728	3.0	0.53	0.25	0.23999999999999932	4.02
C&P/VEH-23299	11.87	2.2	0.25	2.0799999999999983	16.4
C&P/VID-48364	2.7	0.46	0.23	0.16999999999999993	3.56
C&P/VIV-10923	4.49	0.82	0.2	0.5299999999999985	6.039999999999999
C&P/VIV-20092	1.74	0.32	0.06	0.31999999999999984	2.44
C&P/VIV-69593	1.42	0.23	0.08	0.1100000000000001	1.84
C&P/VIV-95791	27.53	4.43	0.46	2.8500000000000014	35.27
C&P/YUY-97877	5.71	0.9	0.28	0.46999999999999975	7.36
C&P/ZEN-80993	17.66	3.14	0.32	1.7199999999999989	22.84
CP&A/1 C-55484	3.05	0.5	0.17	0.14000000000000012	3.86
CP&A/150-92896	28.81	4.47	0.56	2.8499999999999943	36.69
CP&A/1PC-25152	3.15	0.51	0.22	0.25999999999999934	4.14
CP&A/2-I-10706	18.58	2.99	0.26	2.599999999999998	24.43
CP&A/201-25416	3.86	0.73	0.06	0.5600000000000005	5.21
CP&A/201-34286	17.77	3.18	1.49	1.0200000000000031	23.46
CP&A/2X-40361	11.04	1.97	0.88	0.4499999999999993	14.34
CP&A/3-I-21418	2.62	0.49	0.04	0.4399999999999995	3.59
CP&A/320-56926	12.13	2.35	1.18	1.2699999999999996	16.93
CP&A/3X-00445	3.7	0.62	0.06	0.75	5.13
CP&A/420-02290	13.04	2.44	0.51	1.7100000000000009	17.7
CP&A/4X-05587	3.28	0.6	0.23	0.27999999999999936	4.39
CP&A/50-73050	5.92	1.06	0.26	0.8599999999999994	8.1
CP&A/8 P-14520	9.98	1.89	0.95	1.2599999999999998	14.08
CP&A/8 P-60427	1.89	0.35	0.14	0.22999999999999998	2.61
CP&A/8GB-51312	25.0	4.29	1.12	3.1800000000000033	33.59
CP&A/AIM-49896	9.19	1.75	0.5	1.1799999999999997	12.62
CP&A/AIM-96371	7.27	1.29	0.35	0.9500000000000011	9.86
CP&A/AMC-81249	2.97	0.52	0.09	0.45999999999999996	4.04
CP&A/AMZ-02723	23.9	3.96	0.73	1.5500000000000007	30.14
CP&A/ANG-30430	3.29	0.54	0.1	0.27	4.2
CP&A/ANG-99269	3.12	0.56	0.1	0.25	4.03
CP&A/AOK-17118	3.09	0.53	0.12	0.4999999999999982	4.239999999999998
CP&A/AOK-49658	7.68	1.48	0.74	0.75	10.65
CP&A/AOK-68790	3.52	0.62	0.11	0.45999999999999996	4.71
CP&A/AOK-99672	2.07	0.39	0.18	0.31000000000000005	2.95
CP&A/APP-01966	23.76	4.28	1.39	3.849999999999998	33.28
CP&A/APP-07584	8.24	1.55	0.3	1.179999999999998	11.27
CP&A/APP-36326	14.23	2.39	0.63	1.0300000000000011	18.28
CP&A/APP-55502	2.84	0.48	0.08	0.2400000000000002	3.64
CP&A/APP-85066	19.87	3.41	1.41	1.4499999999999993	26.14
CP&A/APP-97749	16.72	2.68	0.35	2.5700000000000003	22.32
CP&A/ARK-04339	2.81	0.5	0.08	0.21999999999999975	3.61
CP&A/AT&-96000	13.28	2.32	0.99	1.9100000000000001	18.5
CP&A/ATC-63145	3.04	0.48	0.08	0.31999999999999984	3.92
CP&A/ATT-05762	12.31	2.16	0.45	1.33	16.25
CP&A/AUK-52842	2.57	0.47	0.24	0.11999999999999966	3.4
CP&A/BAL-43223	2.11	0.36	0.08	0.3400000000000003	2.89
CP&A/BAL-45858	11.36	1.81	0.23	0.9499999999999993	14.35
CP&A/BAL-53851	4.97	0.8	0.27	0.40999999999999837	6.4499999999999975
CP&A/BAL-70641	14.32	2.63	0.65	1.3200000000000038	18.92
CP&A/BAS-23861	8.02	1.41	0.5	0.6300000000000008	10.56
CP&A/BAT-37910	12.6	2.2	1.11	0.3500000000000014	16.26
CP&A/BAT-49908	12.48	2.17	0.6	0.9899999999999984	16.24
CP&A/BEL-67900	20.54	3.79	0.43	3.9300000000000033	28.69
CP&A/BIB-46937	14.66	2.8	0.6	2.8599999999999994	20.92
CP&A/BLA-04221	1.75	0.29	0.04	0.19999999999999973	2.28
CP&A/BLA-26278	0.98	0.17	0.07	0.050000000000000044	1.27
CP&A/BLA-31896	3.28	0.59	0.16	0.2499999999999991	4.2799999999999985
CP&A/BLA-34789	5.04	0.78	0.14	0.3600000000000003	6.32
CP&A/BLA-42617	2.09	0.35	0.11	0.20999999999999996	2.76
CP&A/BLA-63492	11.91	1.99	0.4	1.2199999999999989	15.52
CP&A/BLA-66933	10.53	1.81	0.28	1.6000000000000014	14.22
CP&A/BLA-68020	19.14	3.43	1.08	3.610000000000003	27.26
CP&A/BLA-71958	4.19	0.69	0.24	0.2899999999999965	5.4099999999999975
CP&A/BLA-79091	5.53	0.96	0.18	1.0300000000000002	7.7
CP&A/BLA-95683	21.23	3.95	0.35	4.059999999999999	29.59
CP&A/BLA-97587	1.41	0.24	0.05	0.22999999999999998	1.93
CP&A/BLI-65572	6.14	0.99	0.51	0.6100000000000003	8.25
